SCH_DEP_DATE,cargo_diff
2019-06-16,39553.35000000056
2019-06-17,-1101902.5200000005
2019-06-18,474445.58999999985
2019-06-19,442352.68000000063
2019-06-20,218676.3099999996
2019-06-21,-334503.5999999996
2019-06-22,517925.58999999985
2019-06-23,-90902.86000000034
2019-06-24,-839057.1499999994
2019-06-25,121231.93999999948
2019-06-26,553834.4699999997
2019-06-27,124702.95000000019
2019-06-28,89940.33999999985
2019-06-29,182721.60000000056
2019-06-30,227244.58999999985
2019-07-01,-1050973.38
2019-07-02,338757.76999999955
2019-07-03,130083.16999999993
2019-07-04,248652.48000000045
2019-07-05,-298031.7400000002
2019-07-06,814002.6299999999
2019-07-07,-306873.06999999937
2019-07-08,-880729.54
2019-07-09,160649.54000000004
2019-07-10,191335.21999999974
2019-07-11,159320.16000000015
2019-07-12,-464848.97000000067
2019-07-13,954939.6000000006
2019-07-14,-355567.3300000001
2019-07-15,-803451.0099999998
2019-07-16,200564.04000000004
2019-07-17,232750.15999999922
2019-07-18,115891.38000000082
2019-07-19,-312608.3799999999
2019-07-20,869342.6099999994
2019-07-21,-485986.1799999997
2019-07-22,-475422.85000000056
2019-07-23,-12094.709999999963
2019-07-24,467498.53000000026
2019-07-25,217769.6299999999
2019-07-26,-383294.75
2019-07-27,675432.7700000005
2019-07-28,-31634.37999999989
2019-07-29,-907677.7700000005
2019-07-30,250014.25
2019-07-31,469580.9000000004
2019-08-01,-181203.10000000056
2019-08-02,-67727.5
2019-08-03,525341.8500000006
2019-08-04,640.9799999995157
2019-08-05,-926900.54
2019-08-06,22578.44000000041
2019-08-07,906033.2000000002
2019-08-08,-331244.3200000003
2019-08-09,-413683.6900000004
2019-08-10,271195.3400000008
2019-08-11,-356614.35000000056
2019-08-12,-1719113.5300000003
2019-08-13,104263.18000000063
2019-08-14,884812.4899999993
2019-08-15,158743.91000000015
2019-08-16,-135403.54000000004
2019-08-17,547797.7600000007
2019-08-18,60653.5
2019-08-19,-1476109.9900000002
2019-08-20,565822.8899999997
2019-08-21,608570.54
2019-08-22,404275.3900000006
2019-08-23,218715.52999999933
2019-08-24,39179.87000000011
2019-08-25,-188929.93999999948
2019-08-26,-1244604.25
2019-08-27,664220.0499999998
2019-08-28,460642.6299999999
2019-08-29,240894.20999999996
2019-08-30,-121575.54000000004
2019-08-31,537030.1799999997
2019-09-01,-183673.47999999952
2019-09-02,-1457960.46
2019-09-03,474523.66000000015
2019-09-04,765306.9699999997
2019-09-05,-104030.75999999978
2019-09-06,31672.269999999553
2019-09-07,531766.8140000002
2019-09-08,-360992.7450000001
2019-09-09,-1261066.4330000002
2019-09-10,490956.9740000004
2019-09-11,625360.9399999995
2019-09-12,70682.15000000037
2019-09-13,-286855.8300000001
2019-09-14,683231.79
2019-09-15,71959.55999999959
2019-09-16,-1488980.9799999995
2019-09-17,339490.76999999955
2019-09-18,849711.6100000003
2019-09-19,228976.99000000022
2019-09-20,-327170.4000000004
2019-09-21,614963.29
2019-09-22,-167628.58000000007
2019-09-23,-1114197.1399999997
2019-09-24,110460.88999999966
2019-09-25,1002326.1660000002
2019-09-26,-288554.4809999997
2019-09-27,140674.92799999937
2019-09-28,182990.267
2019-09-29,265316.1560000004
2019-09-30,-1478008.1960000005
2019-10-01,611135.1400000006
2019-10-02,478513.88999999966
2019-10-03,-210675.22999999952
2019-10-04,-167225.38000000082
2019-10-05,399046.1400000006
2019-10-06,176214.7999999998
2019-10-07,-1219474.4000000004
2019-10-08,171545.70999999996
2019-10-09,431543.9900000002
2019-10-10,-20198.919999999925
2019-10-11,-110701.80999999959
2019-10-12,522457.8300000001
2019-10-13,58078.06999999937
2019-10-14,-1046383.2699999996
2019-10-15,136361.2999999998
2019-10-16,752106.1500000004
2019-10-17,125893.39999999944
2019-10-18,-161016.2000000002
2019-10-19,375730.54000000004
2019-10-20,-87626.14999999944
2019-10-21,-979535.5300000003
2019-10-22,10126.169999999925
2019-10-23,1086849.4500000002
2019-10-24,-1492.0600000005215
2019-10-25,-213937.58999999985
2019-10-26,406870.0
2019-10-27,-203484.39999999944
2019-10-28,-856484.8300000001
2019-10-29,231373.8700000001
2019-10-30,563455.3099999996
2019-10-31,-239751.03000000026
2019-11-01,-388243.45999999996
2019-11-02,900786.7700000005
2019-11-03,-602957.0099999998
2019-11-04,-1406646.0100000007
2019-11-05,650647.9100000001
2019-11-06,1015723.0300000003
2019-11-07,149626.74000000022
2019-11-08,-339282.25
2019-11-09,559604.8799999999
2019-11-10,-417651.75
2019-11-11,-992097.3200000003
2019-11-12,345390.4299999997
2019-11-13,839867.9400000004
2019-11-14,-37564.28000000026
2019-11-15,-534589.8899999997
2019-11-16,567230.5599999996
2019-11-17,-181694.72999999952
2019-11-18,-414897.7599999998
2019-11-19,-57482.03000000026
2019-11-20,875761.6299999999
2019-11-21,-294039.8799999999
2019-11-22,-93278.66999999993
2019-11-23,859539.4100000001
2019-11-24,-550135.4400000004
2019-11-25,-883523.8700000001
2019-11-26,342221.6299999999
2019-11-27,737198.1299999999
2019-11-28,-397362.21999999974
2019-11-29,298614.1299999999
2019-11-30,231624.22000000067
2019-12-01,-257981.35000000056
2019-12-02,-487159.79000000004
2019-12-03,-106667.65000000037
2019-12-04,709537.2500000009
2019-12-05,-241309.27000000048
2019-12-06,-165165.70999999996
2019-12-07,552997.0999999996
2019-12-08,-389896.7999999998
2019-12-09,-811864.6699999999
2019-12-10,240732.31000000052
2019-12-11,608723.4099999992
2019-12-12,-196811.38999999966
2019-12-13,-145148.22999999952
2019-12-14,614434.3999999994
2019-12-15,-442331.14999999944
2019-12-16,-683574.79
2019-12-17,199379.20999999996
2019-12-18,656697.5800000001
2019-12-19,-192560.81300000008
2019-12-20,-223035.0770000005
2019-12-21,575470.0200000005
2019-12-22,-398183.5959999999
2019-12-23,-1426153.335
2019-12-24,348040.68099999987
2019-12-25,-94447.19000000041
2019-12-26,-809884.9500000002
2019-12-27,274965.8300000001
2019-12-28,436557.7700000005
2019-12-29,-537262.3300000001
2019-12-30,-1032623.8100000005
2019-12-31,638919.46
2020-01-01,-181945.46999999974
2020-01-02,-408020.1099999994
2020-01-03,40711.31999999937
2020-01-04,839663.96
