SCH_DEP_DATE,CHG_WT_BU_sum,cargo_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17
2021-07-23,5791805.179,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001,244083.28299999982
2021-07-24,6280677.516,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998,528242.4890000001
2021-07-25,6234299.605,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996,625362.9079999998
2021-07-26,4988998.7299999995,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994,-311941.0769999996
2021-07-27,5787081.107,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042,193129.0189999994
2021-07-28,5757741.265,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335,141875.65600000042
2021-07-29,6088756.642,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002,-1400160.335
2021-07-30,6203247.157,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933,787819.6150000002
2021-07-31,6627759.172,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004,177131.52999999933
2021-08-01,5943233.698,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988,229992.91500000004
2021-08-02,4900486.651,-1042747.0470000003,-684525.4740000004,424512.0150000006,114490.51499999966,331015.3770000003,-29339.84200000018,798082.3770000003,-1245300.875000001,-46377.91099999938,488872.3370000003,385295.4419999998,-438020.05500000063,782712.131,-117904.26799999923,-1388988.495,166155.5259999996,165223.13200000022,-28268.89699999988
