Flight_No,org,dst,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,Ratio,count,OPN_SUFX,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,ISO_CODE,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,EST_WT_BU,EST_VOL_BU
6600,DWC,ICN,2019-10-16T00:00:00.000Z,5664.4,25.228631,6418.7,,26,,388R,J,J,15000,60,21384.09,80.428263,,AE,21384.09,80.428263,297.84,0.346347
6600,DWC,ICN,2019-11-28T00:00:00.000Z,18095.25,69.241246,19229.81,,33,,388L,J,J,15000,60,44314.63,109.475988,,AE,44314.63,109.475988,24307.26,27.708144
6600,DWC,ICN,2020-08-27T00:00:00.000Z,13463.6,56.201824,13718.35,,19,,77WER,J,J,20000,100,50642.44,128.512455,,AE,50642.44,128.512455,30928.78,46.759162
6600,DWC,ICN,2020-10-23T00:00:00.000Z,14649.27,83.071113,17104.806,,34,,77WER,J,J,20000,100,51928.01,129.549222,,AE,51928.01,129.549222,30021.12,41.803114
6600,DWC,ICN,2020-12-05T00:00:00.000Z,15360.26,99.182504,21015.25,,52,,77WEP,J,J,20000,100,47119.61,125.938623,,AE,47119.61,125.938623,27470.25,39.462575
6600,DWC,TRV,2018-01-08T00:00:00.000Z,915,4.790114,939.5,,5,,77WEP,J,J,20000,120,26946.83,96.432695,,AE,26946.83,96.432695,431.08,0.66515
6600,DWC,TRV,2018-07-02T00:00:00.000Z,3696,17.562975,3758,,3,,77LU,J,J,15000,60,13174.23,54.912575,,AE,13174.23,54.912575,653.76,1.040479
6600,DWC,TRV,2018-07-06T00:00:00.000Z,787,3.291583,790,,6,,77WER,J,J,21000,120,20079.54,80.337725,,AE,20079.54,80.337725,1633.2,2.594012
6600,DWC,TRV,2019-09-17T00:00:00.000Z,599,3.18883,635,,7,,77WER,J,J,20000,100,27555.63,92.091018,,AE,27555.63,92.091018,9391.2,15.037126
6600,DWC,TRV,2019-10-31T00:00:00.000Z,1747.9,20.975663,3570.5,,4,,77WEP,J,J,20000,100,18479.75,89.676886,,AE,18479.75,89.676886,0,0
6600,DWC,TRV,2020-07-31T00:00:00.000Z,929.8,4.508594,1039,,8,,77WER,J,J,20000,100,17000,65,,AE,17000,65,0,0
