CNTRY_MCY_ID,CNTRY_OWNER_CARR_CODE,CNTRY_CNTRY_CODE,CNTRY_COMMNTY_CODE,CNTRY_RGN_ID,CNTRY_INACTIVE,CNTRY_DTL_ID,CNTRY_CREATED_DATE,CNTRY_CREATED_BY,CNTRY_MODIFIED_DATE,CNTRY_MODIFIED_BY,CNTRY_ISO_CNTRY_CODE,CNTRY_GST_APPL_IND,CNTRY_TAX_ID_LENGTH,CNTRY_CMRCL_RGN,CTY_CCY_ID,CTY_OWNR_CARR_CODE,CTY_CTY_CODE,CTY_CTY_NAME,CTY_MTY_ID,CTY_CITY_TYP,CTY_OFFLN_CTY_IND,CTY_REPORTING_CITY,CTY_SALES_LEVEL,CTY_ADRS_ID
423,EK,LA,,76,N,1480704,,,2006-04-20T12:14:45.000,SYS_TEMP,,,,,24131,EK,THK,"THAKHEK, LAOS",48,,N,,,
361,EK,BW,,70,N,18681952182,,,2018-07-22T11:43:09.679,BERNASCHINA2,BWA,N,,AFR,27871,EK,JWA,"JWANENG, BOTSWANA",48,,N,,,
364,EK,CA,,68,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,AMR,29117,EK,YTN,"RIVIERE-AU-TONNERRE, QUE.",48,,N,,,
364,EK,CA,,68,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,AMR,27535,EK,YLS,LEBEL-SUR-QUEVILLON,48,,N,,,
301,EK,MY,,76,N,1480722,2005-10-18T09:58:04.000,S140475,2006-04-20T12:18:30.000,SYS_TEMP,,,,FEA,25347,EK,TEL,"TELUPID, MALAYSIA",48,,N,,,
294,EK,KR,,75,N,1480702,2005-10-18T09:54:39.000,S140475,2006-04-20T12:13:38.000,SYS_TEMP,,,,FEA,14760,EK,SEL,SEOUL,48,,N,,,
333,EK,CO,,68,N,1480663,2005-10-20T09:03:29.000,S140475,2006-04-20T11:56:21.000,SYS_TEMP,,,,,16497,EK,GRA,"GAMARRA, COLOMBIA",48,,N,,,
283,EK,GB,,71,N,1480684,2005-10-18T09:53:24.000,S140475,2006-04-20T12:08:53.000,SYS_TEMP,,,,EUR,28474,EK,CEG,"CHESTER, ENGLAND",48,,N,,,
283,EK,GB,,71,N,1480684,2005-10-18T09:53:24.000,S140475,2006-04-20T12:08:53.000,SYS_TEMP,,,,EUR,30833,EK,QFO,DUSFORD,48,,N,,,
435,EK,ML,,70,N,1480722,,,2006-04-20T12:18:30.000,SYS_TEMP,,,,,25391,EK,TOM,"TOMBOUCTOU, MALI",48,,N,,,
292,EK,JP,,75,N,1480700,2005-10-18T09:54:39.000,S140475,2006-04-20T12:12:16.000,SYS_TEMP,,,,FEA,18210,EK,IWO,"IWO JIMA, VOLCANO IS., JA",48,,N,,,
432,EK,MG,,70,N,1480706,,,2006-04-20T12:16:16.000,SYS_TEMP,,,,,24323,EK,WTA,"TAMBPHORANO, DEM. REP. MA",48,,N,,,
359,EK,BS,,68,N,18681952182,,,2018-07-22T11:42:47.076,BERNASCHINA2,BHS,N,,AMR,15198,EK,LGI,"DEADMAN'S CAY, BAHAMAS",48,,N,,,
289,EK,IN,,76,N,18382721767,2005-10-18T09:54:39.000,S140475,2018-06-26T17:07:15.291,S409211,IND,Y,15,WSE,18344,EK,IXW,"JAMSHEDPUR, INDIA",48,,N,,,
