,Unnamed: 0,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,ORG_AIRPORT_CODE,ORG_AIRPORT_NAME,ORG_CNTRY_NAME,ORG_REGION_NAME,DST_AIRPORT_CODE,DST_AIRPORT_NAME,DST_CNTRY_NAME,DST_REGION_NAME,org_hday_flg,dst_hday_flg,EST_CHG_WT,SCH_DEP_DAY,SCH_DEP_MONTH,SCH_DEP_YEAR,Flight_No,ISO_CODE,org,dst,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,CHG_WT_BU_PREDICT
6719,6719,2019-08-31,5686.8,50.770226,8434.0,15000.0,60.0,26353.75,88.617006,0.0,26353.75,88.617006,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,1,0,29586.096185522576,31,8,2019,1,2,6,10,7,3,5,
5544,5544,2018-02-03,11506.4,46.826239,13464.95,7000.0,90.0,27178.91,125.0,0.0,17178.91,71.312575,PHX,Metropolitan Area,UNITED STATES OF AMERICA,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,21749.821150788764,3,2,2018,1,17,15,5,15,3,5,
4857,4857,2020-03-08,10497.37,62.459138,11640.03,10000.0,60.0,14039.4,71.71497,0.0,14039.4,71.71497,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,0,0,14626.14889394129,8,3,2020,1,2,6,4,14,3,5,
7708,7708,2019-03-03,24976.0,94.9002,25362.0,20000.0,100.0,38500.0,200.0,0.0,35058.78,113.406707,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,35790.64526236124,3,3,2019,1,9,13,5,18,3,5,
7044,7044,2021-08-16,10900.0,74.4,12400.5,20000.0,100.0,24916.41,91.728743,0.0,24916.41,91.728743,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,25436.54946126335,16,8,2021,1,9,13,5,18,3,5,
5688,5688,2020-10-29,8487.44,52.962038,10604.0,20000.0,100.0,47381.62,129.248383,0.0,47381.62,129.248383,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,1,0,53193.08131654433,29,10,2020,1,2,6,10,18,3,5,
7838,7838,2018-10-08,25855.0,100.05,26583.0,21000.0,120.0,41000.0,4120.0,0.0,35130.07,113.943952,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,35863.4234680134,8,10,2018,1,9,13,5,18,3,5,
8056,8056,2019-08-06,5459.0,11.598217,5494.0,20000.0,100.0,21811.06,86.330539,0.0,21811.06,86.330539,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,24712.99038012553,6,8,2019,1,2,6,16,16,3,5,
5790,5790,2021-03-11,13643.08,67.223322,13874.746,10000.0,60.0,17000.0,90.0,0.0,3615.81,62.282036,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,0,1,3766.925611650203,11,3,2021,1,2,6,4,14,3,5,
8254,8254,2020-12-10,12253.51,33.06388017,13307.117,20000.0,100.0,44379.1,122.971497,0.0,44379.1,122.971497,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,49822.29554529905,10,12,2020,1,2,6,10,16,3,5,
