Region,Month,From_date,to_date,Holiday,Country
MIddle East & GCC,Jul-19,23/07/2019,23/07/2019, Renaissance Day , Oman 
West -  South East Asia & Iran,Jul-19,14/07/2019,14/07/2019, Republic day , Iraq 
West -  South East Asia & Iran,Jul-19,19/07/2019,19/07/2019, Martyr's Day , Myanmar 
West -  South East Asia & Iran,Jul-19,26/07/2019,26/07/2019, Independence Day , Maldives 
West -  South East Asia & Iran,Jul-19,27/07/2019,27/07/2019, Esala/Waso full moon poya  ," Sri Lanka,Myanmar "
Africa,Aug-19,05/08/2019,05/08/2019, Farmer's Day , Zambia 
Africa,Aug-19,07/08/2019,07/08/2019, Independence day , Cote de Ivoire 
Africa,Aug-19,08/08/2019,08/08/2019, Farmer's Day (Nane Nane) , Tanzania 
Africa,Aug-19,09/08/2019,09/08/2019, National Women's Day , South Africa 
Africa,Aug-19,12/08/2019,12/08/2019, Heroes Day , Zimbabwe 
Africa,Aug-19,12/08/2019,12/08/2019, Tabaski (Eid al Adha) ," Cote de I'voire, Senegal "
Africa,Aug-19,13/08/2019,13/08/2019, Women Day , Tunisia 
Africa,Aug-19,13/08/2019,13/08/2019, Defence Forces Day , Zimbabwe 
Africa,Aug-19,14/08/2019,14/08/2019, Oued Ed Dahab Day , Morocco 
Africa,Aug-19,15/08/2019,15/08/2019, Assumption Day ,"  Cote de I'voire, Seychelles,Senegal, Mauritius "
Africa,Aug-19,20/08/2019,20/08/2019, Revolution Day , Morocco 
Africa,Aug-19,21/08/2019,21/08/2019, Youth Day , Morocco 
Americas,Aug-19,05/08/2019,05/08/2019, August Bank Holiday , Canada 
Americas,Aug-19,10/08/2019,10/08/2019, Independence day , Ecuador 
Americas,Aug-19,15/08/2019,15/08/2019, Assumption Day ," Paraguay, Chile,Venezuela "
Americas,Aug-19,19/08/2019,19/08/2019, St. Martin's Day , Argentina 
Europe & Russia,Aug-19,01/08/2019,01/08/2019, National Day , Switzerland 
Europe & Russia,Aug-19,05/08/2019,05/08/2019, Victory Day , Croatia 
Europe & Russia,Aug-19,05/08/2019,05/08/2019, August Bank Holiday , Ireland 
Europe & Russia,Aug-19,05/08/2019,05/08/2019, Summer Bank Holiday , Scotland  
Europe & Russia,Aug-19,15/08/2019,15/08/2019, Assumption Day ," Austria, Belgium, Croatia, France, Germany, Greece,Hungary,Italy,Malta, Poland, Portugal, Spain "
Europe & Russia,Aug-19,20/08/2019,20/08/2019, St.Stephens/National Day , Hungary 
Europe & Russia,Aug-19,26/08/2019,26/08/2019, Summer Bank Holiday , UK & Ireland 
Europe & Russia,Aug-19,30/08/2019,30/08/2019, Victory Day , Turkey 
Far East & Australia,Aug-19,09/08/2019,09/08/2019, National Day , Singapore 
Far East & Australia,Aug-19,12/08/2019,12/08/2019, Queen's birthday , Thailand 
Far East & Australia,Aug-19,15/08/2019,15/08/2019, Liberation Day , South Korea 
Far East & Australia,Aug-19,21/08/2019,21/08/2019, Ninoy Aquino Day , Philippines 
Far East & Australia,Aug-19,26/08/2019,26/08/2019, Heroes Day , Philippines 
