Region,Month,From_date,to_date,Holiday,Country
West - South East Asia,Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
Far East & Australia,Jul-19,15/07/2019,15/07/2019, Marine Day - UMINO HI ,JAPAN
Far East & Australia,Jul-19,16/07/2019,16/07/2019, Asalha Puja ,THAILAND
MIddle East & GCC,Jul-19,23/07/2019,23/07/2019, Renaissance Day ,OMAN
West -  South East Asia & Iran,Jul-19,14/07/2019,14/07/2019, Republic day ,IRAQ
West - South East Asia,Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
West -  South East Asia & Iran,Jul-19,26/07/2019,26/07/2019, Independence Day ,MALDIVES
West - South East Asia,May-20,23-May-20,24-May-20,Eid al Fitr,ALL
Africa,Aug-19,05/08/2019,05/08/2019, Farmer's Day ,ZAMBIA
West - South East Asia,Jul-20,30-Jul-20,02-Aug-20,Eid al Adha,ALL
Africa,Aug-19,08/08/2019,08/08/2019, Farmer's Day (Nane Nane) ,TANZANIA
Africa,Aug-19,09/08/2019,09/08/2019, National Women's Day ,SOUTH AFRICA
Africa,Aug-19,12/08/2019,12/08/2019, Heroes Day ,ZIMBABWE
West - South East Asia,Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Africa,Aug-19,13/08/2019,13/08/2019, Women Day ,TUNISIA
Africa,Aug-19,13/08/2019,13/08/2019, Defence Forces Day ,ZIMBABWE
Africa,Aug-19,14/08/2019,14/08/2019, Oued Ed Dahab Day ,MOROCCO
Africa,Jan-21,01-Jan-21,01-Jan-21,New Year,ALL
Africa,Aug-19,20/08/2019,20/08/2019, Revolution Day ,MOROCCO
Africa,Aug-19,21/08/2019,21/08/2019, Youth Day ,MOROCCO
Americas,Aug-19,05/08/2019,05/08/2019, August Bank Holiday ,CANADA
Americas,Aug-19,10/08/2019,10/08/2019, Independence day ,ECUADOR
Africa,Apr-21,02-Apr-21,04-Apr-21,Good Friday-Easter,ALL
Americas,Aug-19,19/08/2019,19/08/2019, St. Martin's Day ,ARGENTINA
Europe & Russia,Aug-19,01/08/2019,01/08/2019, National Day ,SWITZERLAND
Europe & Russia,Aug-19,05/08/2019,05/08/2019, Victory Day ,CROATIA
Europe & Russia,Aug-19,05/08/2019,05/08/2019, August Bank Holiday ,IRELAND
Africa,Apr-21,12-Apr-21,11-May-21,Ramadan,ALL
Africa,Apr-21,30-Apr-21,02-May-21,Orthodox Good Friday & Coptic Easter,ALL
Europe & Russia,Aug-19,20/08/2019,20/08/2019, St.Stephens/National Day ,HUNGARY
Africa,May-21,01-May-21,01-May-21,Labour Day,ALL
Europe & Russia,Aug-19,30/08/2019,30/08/2019, Victory Day ,TURKEY
Far East & Australia,Aug-19,09/08/2019,09/08/2019, National Day ,SINGAPORE
Far East & Australia,Aug-19,12/08/2019,12/08/2019, Queen's birthday ,THAILAND
Far East & Australia,Aug-19,15/08/2019,15/08/2019, Liberation Day ,SOUTH KOREA
Far East & Australia,Aug-19,21/08/2019,21/08/2019, Ninoy Aquino Day ,PHILIPPINES
Far East & Australia,Aug-19,26/08/2019,26/08/2019, Heroes Day ,PHILIPPINES
Far East & Australia,Aug-19,31/08/2019,31/08/2019, Independence Day (Hari Merdeka) ,MALAYSIA
MIddle East & GCC,Aug-19,15/08/2019,15/08/2019, Assumption Day ,LEBANON
West -  South East Asia & Iran,Aug-19,14/08/2019,14/08/2019, Independence Day ,PAKISTAN
West -  South East Asia & Iran,Aug-19,15/08/2019,15/08/2019, Mourning Day ,BANGLADESH
West -  South East Asia & Iran,Aug-19,15/08/2019,15/08/2019, Independence Day ,INDIA
West -  South East Asia & Iran,Aug-19,15/08/2019,15/08/2019, Nikini full moon poya ,SRI LANKA
West -  South East Asia & Iran,Aug-19,17/08/2019,17/08/2019, Independence Day ,INDONESIA
West -  South East Asia & Iran,Aug-19,19/08/2019,19/08/2019, Eid al Ghadir ,IRAN
Africa,May-21,12-May-21,13-May-21,Eid al Fitr,ALL
